City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
232,saint-joseph,-21.3667,55.6167,22.48,77,26,6.79,RE,2023-07-22
233,hasaki,35.7333,140.8333,31.27,75,0,4.51,JP,2023-07-22
234,gordon,34.5004,-84.8666,22.81,99,100,1.54,US,2023-07-22
235,thompson,55.7435,-97.8558,13.81,95,49,3.48,CA,2023-07-22
236,al hufuf,25.3646,49.5653,43.19,7,0,9.77,SA,2023-07-22
237,aracati,-4.5617,-37.7697,21.03,78,0,3.11,BR,2023-07-22
238,santa ana,33.7456,-117.8678,26.59,90,0,1.54,US,2023-07-22
239,lompoc,34.6391,-120.4579,16.08,96,100,0.0,US,2023-07-22
240,vangaindrano,-23.35,47.6,19.24,83,100,1.19,MG,2023-07-22
241,saint-philippe,-21.3585,55.7679,21.77,83,54,6.07,RE,2023-07-22
242,casarza ligure,44.2719,9.447,28.72,73,17,1.34,IT,2023-07-22
243,gamba,-2.65,10.0,22.69,77,38,2.89,GA,2023-07-22
244,kaspiyskiy,45.3929,47.3707,31.7,41,14,3.2,RU,2023-07-22
245,archangelos,36.2149,28.1149,30.99,33,0,7.75,GR,2023-07-22
246,waitara,-38.925,174.25,9.16,80,82,7.16,NZ,2023-07-22
247,borba,-4.3878,-59.5939,23.83,55,90,1.27,BR,2023-07-22
248,kavieng,-2.5744,150.7967,28.57,74,20,3.28,PG,2023-07-22
249,fauske,67.2588,15.3918,14.41,95,100,0.6,NO,2023-07-22
250,mar del plata,-38.0023,-57.5575,16.16,94,100,1.34,AR,2023-07-22
251,ardestan,33.3761,52.3694,36.91,11,42,4.49,IR,2023-07-22
252,cill airne,52.05,-9.5167,15.71,99,100,2.17,IE,2023-07-22
253,kapuskasing,49.4169,-82.4331,7.0,93,0,0.0,CA,2023-07-22
254,ha giang,22.8333,104.9833,35.17,54,88,1.98,VN,2023-07-22
255,mabaruma,8.2,-59.7833,23.14,96,99,1.26,GY,2023-07-22
256,karpinsk,59.7654,60.0085,22.36,47,55,2.63,RU,2023-07-22
257,zhob,31.3411,69.4481,31.68,41,28,0.47,PK,2023-07-22
258,tazovsky,67.4667,78.7,20.95,68,80,2.72,RU,2023-07-22
259,vilyuysk,63.7553,121.6247,26.42,43,100,3.56,RU,2023-07-22
260,lebu,-37.6167,-73.65,10.07,89,100,3.23,CL,2023-07-22
261,maceio,-9.6658,-35.7353,21.69,100,75,2.06,BR,2023-07-22
262,page,36.9147,-111.4558,30.88,16,0,1.54,US,2023-07-22
263,yamada,39.4667,141.95,23.95,85,100,3.33,JP,2023-07-22
264,horta,38.5333,-28.6333,18.9,90,20,2.68,PT,2023-07-22
265,luena,-11.7833,19.9167,20.14,34,17,3.22,AO,2023-07-22
266,st. john's,47.5649,-52.7093,20.71,93,100,3.09,CA,2023-07-22
267,marquard,-28.6645,27.4305,8.87,71,24,6.02,ZA,2023-07-22
268,moussoro,13.6408,16.4901,32.45,44,73,4.43,TD,2023-07-22
269,roma,43.2128,-75.4557,17.27,94,20,1.54,US,2023-07-22
270,zaraza,9.3503,-65.3245,23.2,93,56,1.38,VE,2023-07-22
271,luis correia,-2.8792,-41.6669,22.4,77,0,4.28,BR,2023-07-22
272,callao,-12.0667,-77.15,21.16,73,100,6.17,PE,2023-07-22
273,usinsk,65.9939,57.5281,18.24,87,100,0.97,RU,2023-07-22
274,saint-louis,16.3333,-15.0,25.56,75,8,4.84,SN,2023-07-22
275,kachug,53.9606,105.8817,29.68,21,98,3.94,RU,2023-07-22
276,palmas,-10.2128,-48.3603,20.93,60,0,3.09,BR,2023-07-22
277,al jawf,29.5,38.75,33.99,15,0,5.65,SA,2023-07-22
278,villa gesell,-37.2639,-56.973,16.7,99,100,1.85,AR,2023-07-22
279,palmer,42.1584,-72.3287,18.86,85,75,0.0,US,2023-07-22
280,chagoda,59.164,35.3285,18.73,53,90,6.14,RU,2023-07-22
281,al jahra',29.3375,47.6581,40.35,6,1,8.45,KW,2023-07-22
282,kapa'a,22.0752,-159.319,27.18,79,40,6.17,US,2023-07-22
283,jalasjarvi,62.5,22.75,17.43,64,100,1.77,FI,2023-07-22
284,kangding,30.0513,101.9603,25.03,47,34,3.18,CN,2023-07-22
285,nakhon phanom,17.3333,104.4167,33.89,49,26,2.52,TH,2023-07-22
286,hinton,53.4001,-117.5857,14.93,96,100,2.26,CA,2023-07-22
287,hamilton,39.1834,-84.5333,19.11,91,0,2.06,US,2023-07-22
288,zhumysker,49.3333,49.4,28.2,41,10,6.06,KZ,2023-07-22
289,mandera,3.9366,41.867,28.89,52,94,9.68,KE,2023-07-22
290,longjing,42.7714,129.4233,28.27,64,57,4.56,CN,2023-07-22
291,bandarbeyla,9.4942,50.8122,30.64,49,100,15.13,SO,2023-07-22
292,tazacorte,28.629,-17.9293,23.54,71,20,8.94,ES,2023-07-22
293,chumphon,10.3333,98.8333,22.26,97,100,2.52,TH,2023-07-22
294,ratchaburi,13.5833,99.5333,30.58,65,100,2.53,TH,2023-07-22
295,toamasina,-18.1667,49.3833,20.0,94,75,4.63,MG,2023-07-22
296,tidjikja,18.5564,-11.4271,28.56,51,13,5.72,MR,2023-07-22
297,bonthe,7.5264,-12.505,24.87,88,96,4.33,SL,2023-07-22
298,sosnovskoye,55.8052,43.167,19.14,59,57,4.35,RU,2023-07-22
299,yung shue wan,22.2333,114.1167,32.68,59,97,3.48,HK,2023-07-22
300,san fernando de apure,7.8878,-67.4724,22.7,97,100,1.51,VE,2023-07-22
301,wotho,10.1657,166.0102,28.79,73,71,4.97,MH,2023-07-22
302,guiuan,11.0333,125.7247,29.33,74,42,7.34,PH,2023-07-22
303,yeniseysk,58.4497,92.1703,28.22,43,89,3.22,RU,2023-07-22
304,matoury,4.8483,-52.3317,23.98,100,100,0.0,GF,2023-07-22
305,yulin,22.6333,110.15,32.38,62,99,2.29,CN,2023-07-22
306,kudahuvadhoo,2.6708,72.8944,28.21,69,100,1.89,MV,2023-07-22
307,puerto deseado,-47.7503,-65.8938,5.18,93,100,5.93,AR,2023-07-22
308,glace bay,46.1969,-59.957,19.76,97,100,6.17,CA,2023-07-22
309,midvagur,62.0511,-7.1939,12.46,76,75,2.57,FO,2023-07-22
310,mingguang,32.7802,117.9638,31.81,69,95,3.42,CN,2023-07-22
311,naze,28.3667,129.4833,29.51,75,100,3.1,JP,2023-07-22
312,punta cardon,11.6581,-70.215,26.32,86,100,11.4,VE,2023-07-22
313,enewetak,11.3474,162.3373,28.79,77,92,6.11,MH,2023-07-22
314,mejit,10.2753,170.8646,27.28,82,97,7.05,MH,2023-07-22
315,dodola,6.9833,39.1833,12.53,94,100,1.97,ET,2023-07-22
316,thannhausen,48.2833,10.4667,19.33,66,22,2.54,DE,2023-07-22
317,geraldton,-28.7667,114.6,21.23,43,0,4.12,AU,2023-07-22
318,esil,51.9556,66.4042,26.06,35,98,5.15,KZ,2023-07-22
319,bilibino,68.0546,166.4372,22.63,50,94,3.12,RU,2023-07-22
320,north bend,43.4065,-124.2243,14.59,94,100,3.09,US,2023-07-22
321,zhanaozen,43.3,52.8,36.59,14,6,6.22,KZ,2023-07-22
322,poltava,49.5937,34.5407,22.57,46,100,2.17,UA,2023-07-22
323,barranca,-10.75,-77.7667,18.8,85,100,3.68,PE,2023-07-22
324,vorgashor,67.5833,63.95,22.45,63,100,4.08,RU,2023-07-22
325,lebyazh'ye,55.2689,66.4947,24.23,46,100,5.94,RU,2023-07-22
326,kargasok,59.0556,80.8572,25.12,66,24,2.38,RU,2023-07-22
327,paradip garh,20.3167,86.6167,30.53,75,100,7.65,IN,2023-07-22
328,pontes e lacerda,-15.2261,-59.3353,18.36,46,0,1.17,BR,2023-07-22
329,ciudad bolivar,8.1222,-63.5497,25.65,79,100,3.01,VE,2023-07-22
330,antsiranana,-12.2787,49.2917,27.41,52,4,9.52,MG,2023-07-22
331,magole,-6.3667,37.3667,26.78,46,42,1.62,TZ,2023-07-22
332,sao jose da coroa grande,-8.8978,-35.1478,22.55,85,22,3.94,BR,2023-07-22
333,colonia,50.9333,6.95,18.79,65,0,2.57,DE,2023-07-22
334,obidos,-1.9175,-55.5181,23.48,75,11,1.79,BR,2023-07-22
335,kingston,17.997,-76.7936,25.69,90,7,0.89,JM,2023-07-22
336,saldanha,-33.0117,17.9442,11.39,60,100,2.04,ZA,2023-07-22
337,hotan,37.0997,79.9269,35.52,15,85,6.7,CN,2023-07-22
338,kitaibaraki,36.7833,140.75,27.3,78,67,2.79,JP,2023-07-22
339,north shore,-36.8,174.75,12.41,75,100,2.71,NZ,2023-07-22
340,iwanai,42.9744,140.5089,25.1,71,100,1.91,JP,2023-07-22
341,dhaulpur,26.7,77.9,38.67,37,28,6.98,IN,2023-07-22
342,kitimat,54.0524,-128.6534,17.21,60,40,0.89,CA,2023-07-22
343,banda aceh,5.5577,95.3222,31.56,59,71,8.25,ID,2023-07-22
344,manistee,44.2445,-86.3242,16.64,98,75,2.06,US,2023-07-22
345,bikenibeu village,1.3673,173.1241,26.98,89,75,2.57,KI,2023-07-22
346,wynyard,-41.0,145.7167,10.81,93,100,2.28,AU,2023-07-22
347,susuman,62.7833,148.1667,24.43,45,98,6.01,RU,2023-07-22
